Comuna,Region,EspeciesPT,GrupoPT,GRUPO ESPECIE AGRUPADO,toponimio,TipoPorcion,superficieTotal,Tipo Titulares,Macrozona,Tipo Toponimio
RIO VERDE,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO SKYRING, ENSENADA PONSONBY, AL ESTE DE CALETA MINA ELENA, ISLA RIESCO",(1): AGUA Y FONDO,44.5,Empresa,Austral,Seno
CALBUCO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,(1): ESTERO HUITO,(1): AGUA Y FONDO,0.13,Persona natural,Sur,Estero
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): CANAL ISLAS VERDES, AL SURESTE DE ISLA CÁRCELES",(1): AGUA Y FONDO,6.0,Empresa,Austral,Isla
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO QUENUIR, SECTOR QUENUIR",(1): AGUA Y FONDO,0.61,Persona natural,Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN RIBERA NORTE, AL SUR DESEMBOCADURA DE RÍO CANUTILLAR",(1): AGUA Y FONDO,7.94,Sindicato,Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN RIBERA NORTE, PARCELA C3",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
RIO VERDE,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO SKYRING, ENSENADA PONSONBY, SECTOR MINA MAGALLANES",(1): AGUA Y FONDO,78.0,Empresa,Austral,Seno
PUNTA ARENAS,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO LYELL, AL SURESTE DE CALETA STOKES, ISLA CAPITÁN ARACENA",(1): AGUA Y FONDO,15.19,Empresa,Austral,Seno
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO, SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA","MACROALGAS, SALMONIDOS",PECES,"(1): ISLA REFUGIO, AL NOROESTE DE CABO HUATIMÓ",(1): AGUA Y FONDO,4.5,Empresa,Austral,Isla
AISEN,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO, SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA","MACROALGAS, SALMONIDOS",PECES,"(1): CANAL SIN NOMBRE, ENTRE ISLAS LAS MADRINAS E ISLA VICTORIA",(1): AGUA Y FONDO,6.0,Empresa,Austral,Canal
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO, SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA","MACROALGAS, SALMONIDOS",PECES,"(1): ESTERO BENJAMÍN, ISLA BENJAMÍN",(1): AGUA Y FONDO,17.85,Empresa,Austral,Estero
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO QUENUIR, SECTOR QUENUIR",(1): AGUA Y FONDO,0.92,Empresa,Sur,Río
DALCAHUE,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,(1): QUETALCO,(1): AGUA Y FONDO,2.92,Empresa,Sur,Villorrio
CALBUCO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): ESTERO MACHILDAD, AL NORTE DE PUNTA MÁCHIL, ISLA PULUQUI",(1): AGUA Y FONDO,5.9,Persona natural,Sur,Estero
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO MONDACA, ENTRE ISLOTES GUDELIO",(1): AGUA Y FONDO,24.85,Empresa,Austral,Seno
CHAITEN,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): PENÍNSULA HUEQUI, AL SURESTE DE ISLA ICA",(1): AGUA Y FONDO,37.19,Empresa,Sur,Península
CISNES,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO GALA, ENTRE PUNTA GRIFFERO Y PUNTA BERISSO, PENÍNSULA MELIMOYU",(1): AGUA Y FONDO,9.9,Empresa,Austral,Seno
ANCUD,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO, OSTRA CHILENA, OSTRA DEL PACIFICO O JAPONESA","MITILIDOS, OSTREIDOS",MOLUSCOS,"(1): BAHÍA HUEIHUE, AL ESTE DE PUNTA CONCURA",(1): AGUA Y FONDO,8.71,Persona natural,Sur,Bahía
CABO DE HORNOS,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): SENO CHASCO, PUERTO CONSUELO",(1): AGUA Y FONDO,8.08,Empresa,Austral,Seno
PUQUELDON,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL YAL, SECTOR  LLUCURA, ISLA LEMUY",(1): AGUA Y FONDO,9.3,Empresa,Sur,Canal
AISEN,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO, SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA","MACROALGAS, SALMONIDOS",PECES,"(1): CANAL CARRERA DEL DIABLO, ENTRE ISLA FITZ ROY Y PENINSULA DE TAITAO, SECTOR 3",(1): AGUA Y FONDO,6.0,Empresa,Austral,Canal
ANCUD,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): ESTERO QUETALMAHUE, AL SUR DE RÍO CALLE",(1): PLAYA ,2.99,Persona natural,Sur,Estero
